"len","sort1","sort2","sorted","sort"
0,"1,60899944603443E-06","8,65200127009302E-07","0,000877999991644","0,000384000304621"
1,"2,79740197584033E-06","1,4520002878271E-06","0,000436599657405","0,000255800841842"
2,"2,3291984689422E-06","1,27959938254207E-06","0,000441599695478","0,000273998011835"
3,"2,51959863817319E-06","1,98860070668161E-06","0,000657999771647","0,00037779827835"
4,"5,12259866809472E-06","3,33020143443719E-06","0,000547397939954","0,000420399010181"
5,"7,27160077076405E-06","4,38259885413572E-06","0,000807401374914","0,000516399450134"
6,"7,30600295355544E-06","4,38639981439337E-06","0,000749799073674","0,000453800021205"
7,"9,77860036073253E-06","5,96340396441519E-06","0,000664401159156","0,000337402161676"
8,"6,76620111335069E-06","4,00959834223613E-06","0,000560800253879","0,000323599670082"
9,"7,95819651102647E-06","4,60860173916444E-06","0,000529199314769","0,000324599386659"
10,"9,087601210922E-06","5,08079829160124E-06","0,000569799158257","0,000336198718287"
11,"9,91639972198755E-06","5,56519808014855E-06","0,000572999124415","0,000361599086318"
12,"1,15359973278828E-05","6,24859821982682E-06","0,000658999488223","0,000350599293597"
13,"1,23733989312314E-05","6,74379989504814E-06","0,000653398456052","0,000354200892616"
14,"1,37076000100933E-05","7,45260040275753E-06","0,000738998642191","0,000384400482289"
15,"1,5259999781847E-05","8,15639941720292E-06","0,000800398993306","0,000386001192965"
16,"1,63032003911212E-05","8,780398638919E-06","0,00078820012277","0,000434598769061"
17,"2,04960000701249E-05","9,5098017482087E-06","0,000812599319033","0,000405200989917"
18,"1,92663996131159E-05","1,00707999081351E-05","0,000805998570286","0,000418198760599"
19,"2,07802004297264E-05","1,0889999975916E-05","0,00086260115495","0,002765802491922"
20,"2,27420008741319E-05","1,17791991215199E-05","0,000920396996662","0,000433600507677"
21,"2,36754000070505E-05","1,45630008773878E-05","0,001029999111779","0,000432602246292"
22,"2,54523998592049E-05","1,34474001242779E-05","0,000960999750532","0,00046339846449"
23,"2,91760006803088E-05","1,44721998367459E-05","0,001079202047549","0,000486000499222"
24,"2,92053984594531E-05","1,5435999375768E-05","0,001087400596589","0,000478800211567"
25,"3,29164016875438E-05","1,61246003699489E-05","0,001136597711593","0,000508801895194"
26,"3,96643983549438E-05","2,19922003452666E-05","0,001814599090721","0,00065180065576"
27,"4,04524005716667E-05","1,82582007255405E-05","0,001351200626232","0,000528401869815"
28,"3,69717992725782E-05","1,90671999007463E-05","0,001270997745451","0,000522198388353"
29,"4,51036001322791E-05","2,03167990548536E-05","0,001339800655842","0,000562200148124"
30,"4,10690015996806E-05","2,09653997444548E-05","0,001317799615208","0,000537199957762"
31,"4,22459997935221E-05","2,14942017919384E-05","0,001273001544178","0,000546799856238"
32,"4,49312006821856E-05","2,25197989493608E-05","0,00138499744935","0,000549199467059"
33,"4,87921992316842E-05","2,30162011575885E-05","0,001416397572029","0,000566002563573"
34,"4,8948400944937E-05","2,46326002525166E-05","0,001451998832636","0,000555200676899"
35,"5,14312006998807E-05","3,53158015059307E-05","0,002372401650064","0,000842398731038"
36,"7,5272198591847E-05","2,69903990556486E-05","0,001810799585655","0,000612199073657"
37,"5,68833973375149E-05","2,79988002148457E-05","0,001600199902896","0,000634197203908"
38,"6,25314001808874E-05","2,88115988951176E-05","0,001644599251449","0,000642398663331"
39,"6,40385987935588E-05","2,97573991701938E-05","0,001735203841235","0,000640799407847"
40,"6,52647999231704E-05","3,09003997244872E-05","0,001761200837791","0,000673398608342"
41,"6,94090005708858E-05","3,13944008667022E-05","0,001742602034938","0,00065899657784"
42,"7,16572001692839E-05","3,3652204729151E-05","0,001847399107646","0,000660801015329"
43,"7,23015982657671E-05","3,35238000843674E-05","0,001784198684618","0,00067220244091"
44,"7,76247994508594E-05","3,60295991413295E-05","0,00190380087588","0,000706600258127"
45,"7,95221989392303E-05","3,77017990103923E-05","0,001963601971511","0,000725999416318"
46,"8,40009990497492E-05","4,03919999371283E-05","0,002253599814139","0,000732198532205"
47,"8,65699985297397E-05","4,28516010288149E-05","0,002094201045111","0,000698800431564"
48,"0,000100229599047","4,08537991461344E-05","0,00261439854512","0,000766199082136"
49,"9,14973978069611E-05","4,3694801570382E-05","0,002222399052698","0,000754403299652"
50,"9,36734024435282E-05","4,32757995440625E-05","0,002244199276902","0,000756200461183"
51,"9,71902001765557E-05","4,4475999311544E-05","0,002320799103472","0,000800398993306"
52,"0,000118024800031","7,11577988113277E-05","0,003795798693318","0,001161398540717"
53,"0,000158070401812","6,81561999954283E-05","0,004208799509797","0,001188596070278"
54,"0,000171769202279","7,34299988835119E-05","0,003115000436082","0,00086459913291"
55,"0,000106346001849","7,05235986970365E-05","0,003504799678922","0,00121780030895"
56,"0,000178386601328","7,37052003387362E-05","0,003980998008046","0,001185599830933"
57,"0,000182601598499","9,09464040887542E-05","0,004372601688374","0,001172802876681"
58,"0,00018146920047","7,77119988924824E-05","0,004382799670566","0,001209398033097"
59,"0,000190929199744","9,14484000531957E-05","0,00447000056738","0,001482201332692"
60,"0,000193975000002","8,80249994224869E-05","0,004894999437965","0,001443400105927"
61,"0,000164299600874","7,91911981650628E-05","0,004859598993789","0,001236599928234"
62,"0,000208290600858","0,000111289600318","0,00480020098621","0,0013688011677"
63,"0,00021128399967","9,96085989754647E-05","0,004574001650326","0,001309798972216"
64,"0,000205225602258","8,98208032594994E-05","0,004830799298361","0,001268199412152"
65,"0,000218257799861","0,000116280598741","0,005328400584403","0,001453001459595"
66,"0,000259535001533","0,000113383600547","0,00462059979327","0,001448200782761"
67,"0,000262875999033","0,000119717200869","0,005264999344945","0,001464001252316"
68,"0,000273678002122","0,000119816801453","0,005118400440551","0,001634401269257"
69,"0,000272086000768","0,000127386803797","0,005054198845755","0,00153039873112"
70,"0,0003089343998","0,0001506451983","0,005823199171573","0,001876399619505"
71,"0,000330234199646","0,000152826598787","0,006007000047248","0,001897801121231"
72,"0,000336521597637","0,000158088799799","0,005916199006606","0,001744799374137"
73,"0,000350567398709","0,000161763197684","0,006074401608203","0,001999198866542"
74,"0,000350583600812","0,000151358402218","0,004967198765371","0,001453798904549"
75,"0,000345769198611","0,000162235400057","0,006369200127665","0,001912598963827"
76,"0,000365633399633","0,000174762798997","0,006240600487217","0,0019513987354"
77,"0,000364591401012","0,000170919201628","0,005760001658928","0,001952999446075"
78,"0,000376128799689","0,000177655600419","0,005706401134375","0,001904999953695"
79,"0,000381389398535","0,000174655599403","0,007077000918798","0,001934601459652"
80,"0,000359417402069","0,000159926401102","0,00643940147711","0,002045600558631"
81,"0,000397324201185","0,000192989400239","0,006491201929748","0,001972401514649"
82,"0,000402450398542","0,000189373400644","0,006409201887436","0,002027802111115"
83,"0,000420176399348","0,000193961599143","0,006197601032909","0,002019600651693"
84,"0,000429703200643","0,000197974598268","0,006224002572708","0,002076799864881"
85,"0,000436238999828","0,000193215000036","0,006241400842555","0,002133798261639"
86,"0,000445717397088","0,000206148398865","0,006418400153052","0,002092198701575"
87,"0,000454409200756","0,000183201400796","0,006036400736775","0,001603398413863"
88,"0,000452028001018","0,000218438800948","0,007080001523718","0,002229599340353"
89,"0,000477626199427","0,000217184201756","0,007078199996613","0,002273201243952"
90,"0,000481845800823","0,000221460398461","0,006801998824812","0,002230600512121"
91,"0,000504014799662","0,000226867801393","0,007066999387462","0,002177600981668"
92,"0,000503803200263","0,000223412000923","0,006983400089666","0,002255600702483"
93,"0,000517539199791","0,000237862399081","0,006328601739369","0,001799200254027"
94,"0,000479921200895","0,000226298400958","0,00538320018677","0,001458598126192"
95,"0,000350570998853","0,000120083602087","0,004696998803411","0,001268599589821"
